Líneas Nazca,Estudios
Romance enamorado y muerte Anónimo siglo XV Flor romances viejos Madrid Calpe,sueño soñaba anoche soñito alma soñaba amores brazos
sueño soñaba anoche soñito alma soñaba amores brazos,Vi entrar señora blanca nieve fría
Vi entrar señora blanca nieve fría,has entrado amor
has entrado amor,has entrado vida
has entrado vida,puertas cerradas ventanas y celosías
puertas cerradas ventanas y celosías,amor amante Muerte Dios envía Ay Muerte rigurosa déjame vivir
amor amante Muerte Dios envía Ay Muerte rigurosa déjame vivir,hora tienes vida
hora tienes vida,prisa calzaba prisa vestía POEMA romances poemas narrativos
prisa calzaba prisa vestía POEMA romances poemas narrativos,cantados juglares calles Edad Media
cantados juglares calles Edad Media,A narraban milagros vidas santos aventuras reyes y guerreros trágicas historias enamorados
A narraban milagros vidas santos aventuras reyes y guerreros trágicas historias enamorados,convirtieron canciones populares siguieron cantando famosísimo romance
convirtieron canciones populares siguieron cantando famosísimo romance,MINISTERIO EDUCACION CIENCIA Y TECNOLOGIA NAP NUCLEOS APRENDIZAJES ANTOLOGÍA HISTORIA cumplido servicio carga champart carreta osa a granja champart
MINISTERIO EDUCACION CIENCIA Y TECNOLOGIA NAP NUCLEOS APRENDIZAJES ANTOLOGÍA HISTORIA cumplido servicio carga champart carreta osa a granja champart,trigo queda
trigo queda,expuesto viento y a lluvia trigo yaciendo campo prejuicio grande molesta villano
expuesto viento y a lluvia trigo yaciendo campo prejuicio grande molesta villano,viene feria Prado y Señora setiembre entregar cerdos villano tieneocho porcinos tomará hermosos y tercero señor tomará
viene feria Prado y Señora setiembre entregar cerdos villano tieneocho porcinos tomará hermosos y tercero señor tomará,villano pagarle dinero cerdos restantes
villano pagarle dinero cerdos restantes,Y viene campesinos acobardados pagar censos harán conmover a villanos y pagar cercados
Y viene campesinos acobardados pagar censos harán conmover a villanos y pagar cercados,pagar a merced señor
pagar a merced señor,serna labrado a tierra
serna labrado a tierra,a buscar trigo granero sembrarlo y rastrillar acre
a buscar trigo granero sembrarlo y rastrillar acre,refiere a pertenecen
refiere a pertenecen,Autorización pago censo cercar tenure
Autorización pago censo cercar tenure,Obligaciones campesinos Historia Medieval fuentes
Obligaciones campesinos Historia Medieval fuentes,rural selección
rural selección,Departamento Historia
Departamento Historia,Cátedra Historia Medieval Facultad Filosofía y Letras Universidad Aires
Cátedra Historia Medieval Facultad Filosofía y Letras Universidad Aires,Comienzos siglo XIII Dios quejo a San Miguel Mensajero rey cielo nombre villanos Verson
Comienzos siglo XIII Dios quejo a San Miguel Mensajero rey cielo nombre villanos Verson,servicio cumplirlo San Juan cortar heno nedirlo aparejarlo y amontonarlo prados reunido llevarlo ordena ponen cumplen servicio época
servicio cumplirlo San Juan cortar heno nedirlo aparejarlo y amontonarlo prados reunido llevarlo ordena ponen cumplen servicio época,tierras pagan a buscar a recibe y llevan pena villano entrega gavillas encargado recibir champart deshonra y saca año comenzaba Pascua
tierras pagan a buscar a recibe y llevan pena villano entrega gavillas encargado recibir champart deshonra y saca año comenzaba Pascua,manoir clásico comprende reserva y tenencias
manoir clásico comprende reserva y tenencias,Bordiers pequeños tenentes
Bordiers pequeños tenentes,champart derecho señorial señor recibe porcentaje previsto gavillas cantidad cereales cosechados
champart derecho señorial señor recibe porcentaje previsto gavillas cantidad cereales cosechados,inflinge multa
inflinge multa,LEYES MEDIEvALES documento histórico queja villanos Verson siervos o campesinos personas atadas a tierra villa
LEYES MEDIEvALES documento histórico queja villanos Verson siervos o campesinos personas atadas a tierra villa,larga queja sirve explicando obligaciones campesinos señores dueños pobreza equiparaba a corrupción moral palabra villano señale a persona malvada
larga queja sirve explicando obligaciones campesinos señores dueños pobreza equiparaba a corrupción moral palabra villano señale a persona malvada,trabajos campesinos meses miniatura manuscrito francés siglo XV Manual Agrícola Pietro Crescenzi detalle
trabajos campesinos meses miniatura manuscrito francés siglo XV Manual Agrícola Pietro Crescenzi detalle,MINISTERIO EDUCACION CIENCIA Y TECNOLOGIA NAP NUCLEOS APRENDIZAJES ANTOLOGÍA HISTORIA Extranjero Pedro Guerra llegaron allá sacados luz ahogados
MINISTERIO EDUCACION CIENCIA Y TECNOLOGIA NAP NUCLEOS APRENDIZAJES ANTOLOGÍA HISTORIA Extranjero Pedro Guerra llegaron allá sacados luz ahogados,Vinieron salvando sal rezándole mar perdidos Dios
Vinieron salvando sal rezándole mar perdidos Dios,Gente mueve casa cuerpo y nombre
Gente mueve casa cuerpo y nombre,Gente mueve alma esconde
Gente mueve alma esconde,cruzaron mar queriendo París buscando papel
cruzaron mar queriendo París buscando papel,Llegaron vivieron pan seguir quieren volver
Llegaron vivieron pan seguir quieren volver,Gente mueve casa aire patria viento arena patria sol extranjero patria mundo patria amor
Gente mueve casa aire patria viento arena patria sol extranjero patria mundo patria amor,Recuerda
Recuerda,barcos y mar fe y adiós
barcos y mar fe y adiós,Llegar a pidiendo vivir huir salvando dolor
Llegar a pidiendo vivir huir salvando dolor,Gente mueve casa aire CANCIóN Pedro Guerra cantautor nacido año Tenerife Islas Canarias
Gente mueve casa aire CANCIóN Pedro Guerra cantautor nacido año Tenerife Islas Canarias,y San Andrés semanas Navidad
y San Andrés semanas Navidad,sextarios cebada y cuartos queso
sextarios cebada y cuartos queso,ban mujer villano paga derecho horno y y horneadora orgullosa y altiva a gruñir y horneador pone ceñudo y jura y cobrado Y horno calentado comerá pan crudo y arreglado
ban mujer villano paga derecho horno y y horneadora orgullosa y altiva a gruñir y horneador pone ceñudo y jura y cobrado Y horno calentado comerá pan crudo y arreglado,Oh conozco gente agobiada firmamento villanos Verson
Oh conozco gente agobiada firmamento villanos Verson,Oublie ofrenda obligatoria y entregaba Navidad
Oublie ofrenda obligatoria y entregaba Navidad,San Andrés noviembre época mataba lechón y hacía tocino ahumado
San Andrés noviembre época mataba lechón y hacía tocino ahumado,Brésages derechos cebada molida fabricar cerveza
Brésages derechos cebada molida fabricar cerveza,Obligación harina horno señorial y pagar n derecho
Obligación harina horno señorial y pagar n derecho,Pago cocinar tortas horno señorial
Pago cocinar tortas horno señorial,pagos
pagos,LEYES MEDIEvALES Podés leer reglamentos y leyes medievales páginas y libro
LEYES MEDIEvALES Podés leer reglamentos y leyes medievales páginas y libro,Inmigrantes descendiendo rampa puerto Aires a principios siglo XX
Inmigrantes descendiendo rampa puerto Aires a principios siglo XX,A G N MINISTERIO EDUCACION CIENCIA Y TECNOLOGIA NAP NUCLEOS APRENDIZAJES ANTOLOGÍA HISTORIA II micer Nicolás y micer Mafeo Constantinopla busca mundo Baduino emperador Constantinopla año Encarnación nuestroSeñor Jesucristo
A G N MINISTERIO EDUCACION CIENCIA Y TECNOLOGIA NAP NUCLEOS APRENDIZAJES ANTOLOGÍA HISTORIA II micer Nicolás y micer Mafeo Constantinopla busca mundo Baduino emperador Constantinopla año Encarnación nuestroSeñor Jesucristo,Hallándose mercancías Constantinopla procedentes ciudad Venecia micer Nicolás Pol padre Marco Polo y hermano micer Mafeo Pol prudentes nobles y avisados comerciantes reuniéronse consejo y decidieron embarcar mar grande prosperar asuntos
Hallándose mercancías Constantinopla procedentes ciudad Venecia micer Nicolás Pol padre Marco Polo y hermano micer Mafeo Pol prudentes nobles y avisados comerciantes reuniéronse consejo y decidieron embarcar mar grande prosperar asuntos,hubieron comprado joyas partieron Constantinopla barco tierra Soldadía
hubieron comprado joyas partieron Constantinopla barco tierra Soldadía,Partida Venecia hermanos Nicolás y Mateo Polo llevándose a Marco hijo
Partida Venecia hermanos Nicolás y Mateo Polo llevándose a Marco hijo,Miniatura manuscrito bodleyana Oxford
Miniatura manuscrito bodleyana Oxford,viajes Marco Polo Capítulos I a V Biblioteca virtual Miguel Cervantes
viajes Marco Polo Capítulos I a V Biblioteca virtual Miguel Cervantes,Traducción María Cardona y Suzanne Dobelmann división mundo I empieza rúbrica libro denominado división mundo Señores emperadores reyes duques y marqueses condes hijosdalgos y burgueses y gentes deseáis generaciones humanas y diversidades regiones mundo tomad libro y mandad lean y encontraréis maravillas y curiosidades Armenia y Persia tártaros y India y provincias expondrá libro y explicará clara y ordenadamente Marco Polo sabio y noble ciudadano Venecia vieron mortales ojos
Traducción María Cardona y Suzanne Dobelmann división mundo I empieza rúbrica libro denominado división mundo Señores emperadores reyes duques y marqueses condes hijosdalgos y burgueses y gentes deseáis generaciones humanas y diversidades regiones mundo tomad libro y mandad lean y encontraréis maravillas y curiosidades Armenia y Persia tártaros y India y provincias expondrá libro y explicará clara y ordenadamente Marco Polo sabio y noble ciudadano Venecia vieron mortales ojos,vio escuchó hombres sinceros y veraces
vio escuchó hombres sinceros y veraces,referimos vistas vistas y oídas oídas libro resulte verídico tretas engaños
referimos vistas vistas y oídas oídas libro resulte verídico tretas engaños,Y hombre leyere y entendiere libro creer y certifico Dios Señor plasmó manos a Adán y Eva padres cristiano pagano tártaro indio hombre generación supiere buscare señor Marcos averiguó y supo digo desventura quedaran escritas maravillas vio y oyó gentes vieron conocieron tengan razón libro
Y hombre leyere y entendiere libro creer y certifico Dios Señor plasmó manos a Adán y Eva padres cristiano pagano tártaro indio hombre generación supiere buscare señor Marcos averiguó y supo digo desventura quedaran escritas maravillas vio y oyó gentes vieron conocieron tengan razón libro,Y repito enterarse vivió regiones y provincias veintiséis años
Y repito enterarse vivió regiones y provincias veintiséis años,Y estando encarcelado Génova exponer a maese Rustichello Pisa hallaba prisión año nacimiento Señor Jesucristo
Y estando encarcelado Génova exponer a maese Rustichello Pisa hallaba prisión año nacimiento Señor Jesucristo,RELATO vIAJES Marco Polo nació Venecia
RELATO vIAJES Marco Polo nació Venecia,mercader y explorador veneciano recorrió Oriente occidentales conocían territorios
mercader y explorador veneciano recorrió Oriente occidentales conocían territorios,introdujo pólvora Europa
introdujo pólvora Europa,Conocemos viajes batalla capturado y llevado a prisión
Conocemos viajes batalla capturado y llevado a prisión,dictó a prisionero Rustichello Pisa libro increíbles viajes
dictó a prisionero Rustichello Pisa libro increíbles viajes,MINISTERIO EDUCACION CIENCIA Y TECNOLOGIA NAP NUCLEOS APRENDIZAJES ANTOLOGÍA HISTORIA llamado Cublai
MINISTERIO EDUCACION CIENCIA Y TECNOLOGIA NAP NUCLEOS APRENDIZAJES ANTOLOGÍA HISTORIA llamado Cublai,Y asombro emisario vio a micer Nicolás y a Micer Mafeo jamás habíase visto latino parajes
Y asombro emisario vio a micer Nicolás y a Micer Mafeo jamás habíase visto latino parajes,a hermanos Señores advierto señor tártaros jamás vio latino y deseo trabar conocimiento queréis venir aseguro verá agrado y llenará honores y bienes
a hermanos Señores advierto señor tártaros jamás vio latino y deseo trabar conocimiento queréis venir aseguro verá agrado y llenará honores y bienes,hermanos contestáronle harían gustosos cosa factible y replicó llegarían sanos y salvos y impedimento iban compañía
